## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/1283_15.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Jan 18 14:44:43 CET 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
189	68	2	208586251	203.032147	98.626817	3608278	FR	27	53	81	109	137	167	203	245	307	565			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	3
3	3
4	2
6	2
7	2
9	3
10	6
11	2
12	5
13	3
14	6
15	9
16	6
17	2
18	6
19	71
20	93
21	83
22	57
23	67
24	67
25	59
26	86
27	84
28	122
29	142
30	232
31	290
32	456
33	530
34	693
35	1116
36	1893
37	2423
38	3040
39	3313
40	3540
41	3968
42	3939
43	4200
44	4391
45	4617
46	4750
47	4914
48	5268
49	5589
50	5767
51	5713
52	5820
53	5997
54	6059
55	6188
56	6385
57	6691
58	6961
59	7093
60	7188
61	7417
62	7468
63	7553
64	7605
65	7895
66	8113
67	8268
68	8492
69	8815
70	8888
71	8975
72	9139
73	9202
74	9181
75	9254
76	9225
77	9682
78	9898
79	10121
80	10264
81	10361
82	10416
83	10555
84	10739
85	10883
86	10718
87	11133
88	11292
89	11465
90	11780
91	11690
92	11892
93	12149
94	12063
95	12005
96	12201
97	12215
98	12426
99	12669
100	12833
101	12836
102	13001
103	13101
104	13349
105	13364
106	13039
107	13278
108	13223
109	13652
110	13611
111	13862
112	13869
113	13817
114	13865
115	14132
116	14175
117	14069
118	14136
119	14209
120	14404
121	14249
122	14558
123	14524
124	14356
125	14387
126	14603
127	14521
128	14569
129	14603
130	14631
131	14721
132	14738
133	14895
134	14993
135	14714
136	14942
137	14755
138	14868
139	15012
140	14733
141	14702
142	14961
143	14803
144	15030
145	14960
146	14814
147	14705
148	14710
149	14819
150	14724
151	14868
152	14802
153	14740
154	14653
155	14756
156	14761
157	14646
158	14764
159	14611
160	14552
161	14674
162	14694
163	14622
164	14586
165	14684
166	14473
167	14464
168	14338
169	14467
170	14477
171	14415
172	14456
173	14248
174	14156
175	14437
176	14299
177	14284
178	14259
179	14063
