## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/73_16.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 11 18:50:19 CET 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
175	64	2	226732074	191.00775	96.137086	8179252	FR	25	51	75	101	129	159	191	231	303	575			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	6
3	8
4	5
5	7
6	6
7	6
8	8
9	17
10	7
11	7
12	3
13	15
14	9
15	10
16	8
17	9
18	17
19	224
20	249
21	157
22	120
23	141
24	102
25	123
26	103
27	198
28	256
29	322
30	672
31	898
32	1006
33	1145
34	1557
35	2341
36	4059
37	5896
38	7134
39	8301
40	8771
41	9556
42	10280
43	10893
44	11778
45	12738
46	13337
47	14268
48	15164
49	15879
50	16332
51	16597
52	16989
53	17153
54	17624
55	18243
56	18825
57	19653
58	20225
59	20997
60	20967
61	21257
62	21823
63	22044
64	22288
65	22538
66	22962
67	23599
68	24003
69	24596
70	25078
71	25321
72	25912
73	25678
74	26024
75	25813
76	26525
77	27248
78	27139
79	27987
80	28101
81	28713
82	28854
83	28881
84	29374
85	28897
86	29454
87	29903
88	30196
89	30718
90	30731
91	31207
92	31405
93	31807
94	31747
95	31631
96	32012
97	31526
98	32457
99	32510
100	32939
101	32875
102	33206
103	33486
104	33712
105	33765
106	33778
107	33475
108	33753
109	33923
110	34362
111	34619
112	34852
113	34629
114	34995
115	35240
116	35239
117	34894
118	35257
119	35349
120	35542
121	35656
122	35770
123	36139
124	36020
125	35849
126	36027
127	35762
128	35809
129	35963
130	35938
131	35881
132	36185
133	36011
134	36451
135	36575
136	36282
137	36190
138	36087
139	35777
140	35664
141	35773
142	35833
143	35892
144	36132
145	35992
146	35981
147	36033
148	35700
149	35571
150	35399
151	35375
152	35345
153	35628
154	35408
155	35407
156	35200
157	35302
158	34839
159	34956
160	34718
161	34853
162	34992
163	34753
164	34622
165	34719
166	34049
167	34176
168	34011
169	33981
170	33613
171	33523
172	33558
173	33481
174	33409
175	33233
176	33387
177	32821
178	32982
179	32958
180	32336
181	32477
182	32293
183	32226
184	32034
185	31823
186	31654
187	31669
188	31569
189	31529
190	31228
191	31090
192	30578
193	30817
194	30601
195	30463
196	30562
197	30224
198	29902
199	29663
200	29678
201	29594
202	29243
203	29045
204	29061
205	28657
206	28762
207	28751
208	28352
209	28269
210	28180
211	28010
212	27445
213	27358
214	27772
215	27392
216	27180
217	27089
218	26758
219	26755
220	26360
221	26308
222	26156
223	25938
224	25761
225	25457
226	25219
227	25078
228	25370
229	25007
230	25018
231	24960
232	24487
233	24446
234	24110
235	24075
236	23674
237	23858
238	23338
239	23203
240	22910
241	23197
242	22930
243	22799
244	22616
245	22048
246	21909
247	22105
248	21591
249	21734
250	21445
251	21737
252	21079
253	20951
254	20944
255	20770
256	20480
257	20540
258	20342
259	20136
260	19969
261	19886
262	19529
263	19654
264	19369
265	18952
266	18687
267	19006
268	18755
269	18427
270	18324
271	18189
272	18319
273	18359
274	17608
275	17579
276	17434
277	17223
278	17119
279	17077
280	16909
281	16798
282	16256
283	16189
284	16277
285	16116
286	15975
287	15879
288	15624
289	15605
290	15639
291	15470
292	15151
293	15162
294	14555
295	14794
296	14522
297	14557
298	14358
299	14287
300	14159
301	13798
302	13855
303	13793
304	13620
305	13374
306	13318
307	13025
308	13131
309	12910
310	12919
311	12650
312	12442
313	12452
314	12161
315	12140
316	12074
317	11990
318	11892
319	11666
320	11668
321	11604
322	11404
323	11331
324	11142
325	10977
326	10672
327	10910
328	10803
329	10548
330	10729
331	10349
332	10296
333	10234
334	9906
335	9914
336	9817
337	9779
338	9533
339	9626
340	9461
341	9440
342	9280
343	9056
344	9075
345	8922
346	8983
347	8569
348	8545
349	8616
350	8559
351	8536
352	8310
353	8017
354	7914
355	7906
356	7956
357	7956
358	7783
359	7575
360	7547
361	7618
362	7352
363	7132
364	7238
365	7146
366	6965
367	6932
368	6893
369	6755
370	6666
371	6573
372	6405
373	6453
374	6321
375	6409
376	6246
377	6276
378	5992
379	5974
380	5951
381	5879
382	5707
383	5752
384	5635
385	5503
386	5632
387	5396
388	5370
389	5233
390	5196
391	5156
392	5089
393	5008
394	4801
395	4949
396	4696
397	4790
398	4597
399	4672
400	4541
401	4602
402	4358
403	4287
404	4187
405	4350
406	4138
407	4114
408	4063
409	4073
410	3977
411	3863
412	3880
413	3831
414	3838
415	3769
416	3567
417	3612
418	3518
419	3499
420	3440
421	3434
422	3233
423	3167
424	3218
425	3211
426	3220
427	3126
428	3029
429	3035
430	2926
431	2950
432	2941
433	2830
434	2844
435	2634
436	2647
437	2619
438	2597
439	2511
440	2588
441	2461
442	2469
443	2470
444	2350
445	2336
446	2334
447	2253
448	2176
449	2171
450	2153
451	2059
452	2116
453	2082
454	2015
455	1927
456	1932
457	1882
458	1863
459	1795
460	1762
461	1716
462	1678
463	1678
464	1730
465	1624
466	1636
467	1561
468	1467
469	1461
470	1516
471	1456
472	1414
473	1467
474	1396
475	1389
476	1355
477	1308
478	1259
479	1284
480	1202
481	1212
482	1164
483	1235
484	1125
485	1060
486	1115
487	1087
488	1058
489	1051
490	1021
491	1002
492	1007
493	919
494	1004
495	867
496	886
497	834
498	808
499	884
500	799
501	786
502	757
503	750
504	774
505	689
506	744
507	693
508	714
509	751
510	661
511	627
512	643
513	595
514	590
515	581
516	575
517	636
518	539
519	515
520	527
521	512
522	536
523	532
524	489
525	491
526	452
527	447
528	465
529	402
530	457
531	377
532	401
533	387
534	396
535	392
536	406
537	356
538	332
539	342
540	349
541	325
542	331
543	314
544	287
545	296
546	295
547	289
548	260
549	264
550	245
551	257
552	247
553	250
554	205
555	200
556	213
557	195
558	198
559	195
560	213
561	178
562	191
563	181
564	171
565	168
566	136
567	160
568	141
569	160
570	169
571	143
572	139
573	122
574	151
575	131
576	128
577	117
578	120
579	116
580	120
581	107
582	96
583	84
584	108
585	106
586	77
587	85
588	106
589	79
590	87
591	98
592	66
593	85
594	79
595	78
596	76
597	65
598	62
599	49
600	63
601	49
602	69
603	57
604	50
605	54
606	41
607	28
608	42
609	50
610	47
611	47
612	47
613	35
614	35
615	45
616	43
617	35
618	33
619	42
620	36
621	24
622	28
623	37
624	26
625	38
626	31
627	19
628	22
629	31
630	29
631	23
632	19
633	25
634	20
635	21
636	28
637	20
638	20
639	13
640	18
641	11
642	14
643	11
644	17
645	12
646	15
647	15
648	20
649	10
650	9
651	12
652	12
653	3
654	12
655	10
656	17
657	5
658	9
659	9
660	15
661	11
662	8
663	8
664	9
665	7
666	9
667	1
668	9
669	12
670	2
671	7
672	5
673	8
674	2
675	10
676	9
677	4
678	6
679	4
680	5
681	4
682	5
683	6
684	3
685	5
686	3
687	3
688	5
690	3
691	3
692	3
693	5
694	7
695	4
696	2
697	2
698	8
699	4
700	3
702	3
703	2
704	1
705	2
706	4
707	2
708	4
709	5
710	1
712	1
713	3
714	2
715	2
716	1
717	2
718	2
719	3
720	1
721	1
724	3
725	1
726	2
728	1
730	4
731	1
733	1
734	2
735	1
736	3
737	2
739	1
740	1
741	1
742	1
744	1
745	2
747	1
748	1
750	2
752	1
755	2
756	1
760	1
761	1
762	1
763	1
764	2
766	1
770	2
772	1
777	1
782	2
785	1
786	1
787	1
788	1
790	1
795	1
797	1
802	1
809	1
812	1
815	1

