## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/286_16.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 15 15:39:33 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
215	79	2	243087110	230.272195	113.939193	55978627	FR	31	63	93	127	159	195	233	281	355	653			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	237
3	269
4	470
5	254
6	293
7	333
8	289
9	831
10	351
11	361
12	294
13	324
14	516
15	407
16	383
17	384
18	461
19	5892
20	6899
21	5651
22	4311
23	4614
24	3598
25	3578
26	4092
27	6180
28	7077
29	7608
30	7494
31	8664
32	9855
33	11630
34	14126
35	18074
36	26413
37	34754
38	38673
39	42373
40	41593
41	42686
42	43985
43	45625
44	48426
45	50317
46	52959
47	56388
48	59107
49	62746
50	62602
51	62778
52	64382
53	65928
54	69276
55	69497
56	73357
57	76657
58	79542
59	82571
60	82826
61	82234
62	85413
63	86041
64	90277
65	90249
66	93215
67	96058
68	97646
69	103935
70	104044
71	105741
72	106628
73	106397
74	109164
75	108172
76	111458
77	116379
78	118578
79	123603
80	123090
81	126156
82	125501
83	125545
84	128378
85	129681
86	130478
87	134892
88	137088
89	142566
90	143550
91	144738
92	144249
93	146598
94	147714
95	149865
96	150433
97	150766
98	152576
99	157459
100	161251
101	163449
102	163387
103	163788
104	164323
105	166815
106	166555
107	166579
108	168811
109	171507
110	174434
111	176457
112	177651
113	176917
114	177467
115	176909
116	177471
117	178249
118	180486
119	181695
120	184275
121	185094
122	184900
123	186297
124	186197
125	186830
126	184995
127	185842
128	186101
129	189509
130	191064
131	190362
132	191767
133	194116
134	192830
135	192841
136	191166
137	191653
138	191020
139	192133
140	192917
141	193563
142	196220
143	196413
144	197353
145	196752
146	195104
147	194484
148	194710
149	195558
150	196383
151	197251
152	197113
153	196931
154	197593
155	197496
156	196810
157	195995
158	196391
159	196785
160	196253
161	196999
162	197123
163	198620
164	197110
165	198752
166	197830
167	196907
168	195967
169	195492
170	195990
171	195450
172	195038
173	197078
174	196519
175	197230
176	195583
177	196353
178	193943
179	194143
180	194605
181	194604
182	193476
183	193923
184	194608
185	193826
186	194398
187	192402
188	192686
189	192281
190	191180
191	190135
192	189889
193	190270
194	191433
195	190498
196	190243
197	190179
198	190865
199	188846
200	187124
201	187067
202	186145
203	187229
204	188270
205	186754
206	186604
207	185307
208	184778
209	185115
210	184219
211	182756
212	182865
213	183927
214	184198
215	182778
216	182341
217	181494
218	180978
219	180811
220	179764
221	179574
222	177681
223	178255
224	178673
225	177512
226	177108
227	176543
228	176041
229	176462
230	175633
231	174427
232	173284
233	173216
234	173439
235	173062
236	172995
237	171753
238	170860
239	170878
240	169712
241	169135
242	169785
243	168334
244	167332
245	166717
246	165844
247	165588
248	165031
249	165621
250	163640
251	163219
252	161894
253	161844
254	163130
255	161044
256	160654
257	158991
258	158727
259	158958
260	158213
261	159535
262	156065
263	155833
264	155300
265	154050
266	154662
267	153097
268	152357
269	152162
270	152131
271	150654
272	149725
273	149721
274	149272
275	148320
276	147251
277	146773
278	146150
279	145671
280	144644
281	143995
282	143072
283	142067
284	141888
285	141239
286	139759
287	140405
288	139734
289	139936
290	137653
291	136372
292	136638
293	135773
294	135010
295	134790
296	133439
297	134406
298	131555
299	131272
300	130921
301	130644
302	129367
303	129574
304	128416
305	127505
306	126896
307	126724
308	125321
309	124895
310	124266
311	123241
312	122700
313	122030
314	120871
315	120584
316	119453
317	119469
318	118139
319	117488
320	117114
321	116436
322	115619
323	114498
324	115016
325	113164
326	112816
327	111881
328	111246
329	110566
330	109118
331	109079
332	108113
333	107568
334	106716
335	106857
336	105427
337	105235
338	105163
339	103767
340	102687
341	102320
342	101149
343	101278
344	99484
345	99898
346	98834
347	97257
348	97221
349	95766
350	95187
351	95088
352	94432
353	93367
354	92186
355	91572
356	91038
357	90578
358	89675
359	88616
360	87899
361	87081
362	86842
363	86386
364	85028
365	84760
366	84316
367	82884
368	82548
369	82273
370	81219
371	80604
372	80339
373	79345
374	78225
375	77516
376	77229
377	76610
378	75719
379	75555
380	74155
381	73923
382	73453
383	72850
384	71689
385	71463
386	70829
387	69287
388	69452
389	69015
390	68234
391	67733
392	66579
393	66982
394	65593
395	65282
396	64338
397	63964
398	63281
399	62429
400	61906
401	61448
402	60945
403	60250
404	59421
405	58653
406	58348
407	57968
408	57431
409	56479
410	56329
411	55756
412	54987
413	54338
414	53614
415	53126
416	52670
417	52250
418	51613
419	51033
420	50279
421	50671
422	49706
423	48693
424	48628
425	47973
426	47329
427	46120
428	46374
429	46353
430	45804
431	44960
432	44233
433	43616
434	43552
435	42473
436	42098
437	41936
438	41845
439	40614
440	40431
441	39804
442	39341
443	38658
444	38460
445	37731
446	37144
447	37212
448	36248
449	36232
450	35583
451	35063
452	34999
453	34372
454	34021
455	33388
456	33503
457	33054
458	32203
459	32308
460	31923
461	31140
462	30811
463	30554
464	30174
465	29706
466	29767
467	29022
468	28332
469	28182
470	27746
471	27499
472	27183
473	26972
474	26445
475	26034
476	25791
477	25366
478	24896
479	24397
480	24064
481	23856
482	23639
483	23272
484	22913
485	22679
486	22253
487	21924
488	21900
489	21378
490	21111
491	20569
492	20471
493	20319
494	20045
495	19711
496	19254
497	19286
498	18783
499	18629
500	18408
501	18061
502	17580
503	17245
504	17164
505	17215
506	16525
507	16566
508	16480
509	16006
510	15724
511	15541
512	15296
513	15376
514	14605
515	14716
516	14352
517	14302
518	13795
519	13612
520	13617
521	13543
522	13313
523	12933
524	12636
525	12544
526	12296
527	11917
528	12057
529	11839
530	11514
531	11303
532	11289
533	11013
534	10936
535	10549
536	10570
537	10329
538	9995
539	10177
540	9820
541	9758
542	9414
543	9316
544	9360
545	9048
546	8740
547	8718
548	8436
549	8625
550	8169
551	8176
552	8083
553	7685
554	7813
555	7593
556	7521
557	7349
558	7267
559	6988
560	7108
561	6996
562	6629
563	6497
564	6390
565	6486
566	6342
567	6130
568	6042
569	6025
570	5932
571	5708
572	5587
573	5441
574	5469
575	5248
576	5400
577	5287
578	5118
579	5071
580	4814
581	4887
582	4782
583	4563
584	4697
585	4489
586	4370
587	4249
588	4111
589	4072
590	4091
591	4067
592	3743
593	3865
