## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/291_16.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Apr 18 18:44:47 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
229	99	2	242555946	249.437178	138.778706	21198570	FR	39	79	119	159	199	243	289	343	433	779			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	137
3	144
4	228
5	122
6	125
7	183
8	153
9	505
10	172
11	195
12	141
13	174
14	260
15	195
16	172
17	199
18	216
19	2356
20	2544
21	2090
22	1645
23	1516
24	1600
25	1559
26	1978
27	3252
28	3957
29	4634
30	5584
31	6821
32	8226
33	9900
34	12187
35	16917
36	24763
37	31328
38	34415
39	36784
40	36850
41	36508
42	37078
43	38033
44	39153
45	37762
46	37972
47	38752
48	39405
49	41179
50	40440
51	40073
52	40822
53	40708
54	41179
55	40718
56	41129
57	41766
58	42235
59	42949
60	42130
61	42087
62	42939
63	42717
64	43827
65	43678
66	44463
67	45358
68	44909
69	46260
70	45644
71	46813
72	46700
73	47015
74	47243
75	46410
76	47447
77	48506
78	48967
79	50263
80	49537
81	50268
82	49802
83	49988
84	50606
85	50725
86	50969
87	52137
88	52028
89	53284
90	53413
91	53520
92	53123
93	54193
94	53891
95	55221
96	55093
97	54768
98	55140
99	56423
100	56705
101	57034
102	56973
103	57040
104	56651
105	57595
106	57528
107	57278
108	57377
109	58059
110	58762
111	59111
112	59465
113	58897
114	58823
115	58463
116	58709
117	59361
118	59786
119	59929
120	60154
121	60670
122	60115
123	59974
124	60051
125	59994
126	59539
127	59690
128	59554
129	60635
130	61078
131	60456
132	60357
133	61622
134	61128
135	60933
136	60216
137	60277
138	60054
139	60604
140	60395
141	60594
142	61132
143	61134
144	61403
145	61266
146	60874
147	60516
148	60307
149	60708
150	61338
151	61248
152	60740
153	61512
154	60999
155	61059
156	60877
157	60410
158	60676
159	60101
160	60698
161	60764
162	60554
163	60670
164	60488
165	60965
166	59823
167	60032
168	60272
169	59660
170	59944
171	59910
172	60024
173	60121
174	60062
175	60559
176	60132
177	60104
178	59452
179	59776
180	59584
181	59087
182	59321
183	59556
184	59626
185	59177
186	59321
187	58664
188	59309
189	58220
190	58769
191	58244
192	58294
193	58677
194	58686
195	58099
196	58578
197	58613
198	58186
199	57592
200	57082
201	57763
202	57334
203	57351
204	57671
205	57176
206	57151
207	56942
208	57301
209	56770
210	56338
211	56656
212	55771
213	56291
214	56741
215	56440
216	55697
217	55709
218	55979
219	55858
220	55409
