## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/292_16.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 19 03:53:27 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
225	100	2	243081577	246.819865	140.733874	22811830	FR	41	81	121	161	201	245	291	343	443	795			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	141
3	139
4	250
5	119
6	137
7	180
8	148
9	490
10	169
11	204
12	134
13	159
14	271
15	201
16	193
17	228
18	225
19	2598
20	2940
21	2307
22	1792
23	1599
24	1538
25	1682
26	2159
27	4063
28	4789
29	5465
30	6445
31	7845
32	9265
33	11707
34	14660
35	20192
36	29737
37	38428
38	42278
39	45143
40	44589
41	45073
42	45920
43	46785
44	47852
45	46557
46	45140
47	46279
48	46941
49	48504
50	48262
51	48333
52	47915
53	48532
54	48626
55	48440
56	49031
57	49208
58	49659
59	50111
60	49576
61	48753
62	49578
63	50519
64	51598
65	51350
66	52062
67	52213
68	52216
69	53649
70	53076
71	53933
72	54326
73	53610
74	54404
75	54056
76	54960
77	55322
78	56149
79	57664
80	56635
81	57284
82	57170
83	57297
84	57642
85	57751
86	58463
87	59032
88	59322
89	60914
90	60948
91	60123
92	60300
93	61011
94	61243
95	61923
96	62160
97	62116
98	61936
99	63381
100	63715
101	63852
102	63385
103	63597
104	63485
105	63976
106	64000
107	64214
108	64578
109	64685
110	65400
111	65650
112	65294
113	64815
114	65757
115	65284
116	64911
117	65210
118	65191
119	65376
120	66275
121	65830
122	66522
123	65570
124	65965
125	65892
126	64821
127	65222
128	64826
129	66251
130	66385
131	66217
132	66259
133	66490
134	66118
135	66464
136	65656
137	65215
138	65302
139	65204
140	65215
141	65736
142	65573
143	66410
144	66203
145	66288
146	65770
147	65041
148	65111
149	65498
150	65446
151	65635
152	66012
153	65394
154	65587
155	65275
156	65170
157	64817
158	65205
159	64497
160	64396
161	64938
162	64643
163	64880
164	64908
165	65121
166	64507
167	64501
168	63849
169	63351
170	63706
171	63307
172	63599
173	64294
174	64074
175	63867
176	63328
177	63628
178	63041
179	62711
180	62760
181	63005
182	62660
183	62778
184	63122
185	62440
186	62705
187	62104
188	61791
189	61966
190	61563
191	61690
192	61897
193	61133
194	61635
195	61597
196	61809
197	61387
198	61365
199	60817
200	60820
201	60038
202	60632
203	60773
204	60494
205	60725
206	60289
207	59828
208	59900
209	59865
210	59284
211	59175
212	58927
213	59319
214	59239
215	59498
216	59257
217	58751
218	59024
219	58289
220	58134
221	57478
222	58096
223	57786
224	58253
225	58021
226	57640
227	57633
228	57142
229	57278
230	56771
231	56553
232	56502
233	56257
234	56623
235	56350
236	55847
237	56638
238	55873
239	56279
240	55761
241	54867
242	55441
243	55458
244	55359
245	54632
246	54342
247	54841
248	54419
249	54299
250	54262
251	53553
252	53427
253	54057
254	53948
255	53064
256	53343
257	52628
258	53760
259	53634
260	53100
261	53709
262	52388
263	51999
264	52262
265	51558
266	52267
267	51531
268	51927
269	51350
270	51270
271	51295
272	50786
273	50752
274	50829
275	50520
276	50994
277	50020
278	50252
279	50257
280	49425
281	49801
282	49606
283	49364
284	49350
285	49125
286	48907
287	48868
288	48672
289	48734
290	48714
291	48283
292	48481
293	47965
294	47948
295	47454
296	47456
297	47613
298	47496
299	47191
300	46909
301	46793
302	46736
303	46847
304	46463
305	46554
306	46451
307	46092
308	45721
309	45679
310	45704
311	45294
312	44953
313	45111
314	44769
315	45118
316	44686
317	44302
318	44222
319	44546
320	44163
321	43579
322	43735
323	43564
324	43202
325	43077
326	43077
327	42846
328	42502
329	42840
330	42370
331	41922
332	41945
333	41982
334	41904
335	41860
336	41422
337	41747
338	41289
339	41031
340	40791
341	40661
342	40246
343	40316
344	40192
345	40375
346	39720
347	39801
348	39757
349	39636
350	39425
351	39762
352	39292
353	38648
354	39020
355	38476
356	38388
357	38208
358	38180
359	37971
360	38104
361	37647
362	37459
363	37431
364	37237
365	36984
366	36837
367	36611
368	36425
369	36282
370	36140
371	36012
372	36091
373	35848
374	35552
375	35055
376	34953
377	35213
378	35125
379	35143
380	34723
381	34407
382	34323
383	34297
384	33778
385	33771
386	33478
387	33329
388	33109
389	33064
390	33011
391	32546
392	32374
393	32231
394	32198
395	31843
396	31633
397	31616
398	31471
399	31349
400	31198
401	30922
402	30618
403	30385
404	30546
405	30096
406	29809
407	29814
408	29403
409	29877
410	29343
411	29090
412	28743
413	28612
414	28543
415	28142
416	28118
417	28454
418	28085
419	27899
420	27639
421	27486
422	27442
423	27271
424	26867
425	26767
426	26659
427	26351
428	26350
429	26660
430	26042
431	25987
432	25640
433	25492
434	25419
435	25175
436	25117
437	24830
438	24864
439	24086
440	24343
441	24184
442	24093
443	23912
444	23922
445	23788
446	23631
447	23242
448	23264
449	23204
450	22690
451	22600
452	22409
453	22228
454	22295
455	21852
456	22114
457	22064
458	21310
459	21278
460	21415
461	21099
462	20878
463	20494
464	20807
465	20365
466	20111
467	20136
468	19873
469	19673
470	19573
471	19349
472	19278
473	18984
474	18800
475	18642
476	18701
477	18633
478	18447
479	18011
480	17927
481	17879
482	18244
483	17556
484	17297
485	17434
486	17311
487	16940
488	17219
489	16713
490	16421
491	16265
492	16302
493	16016
494	16048
495	15783
496	15745
497	15618
498	15425
499	15355
500	14875
501	15130
502	15047
503	14690
504	14734
505	14493
506	14224
507	14373
508	14119
509	13813
510	13564
511	13692
512	13568
513	13634
514	13196
515	13135
516	12969
517	12935
518	12554
519	12567
520	12615
521	12249
522	12207
523	12131
524	12002
525	11801
526	11708
527	11611
528	11260
529	11123
530	11188
531	11148
532	10958
533	11018
534	10630
535	10774
536	10464
537	10348
538	10201
539	10091
540	10084
541	9935
542	9886
543	9746
544	9630
545	9307
546	9298
547	9352
548	9201
549	9106
550	8889
551	8791
552	8627
553	8580
554	8530
555	8559
556	8428
557	8159
558	8044
559	8191
560	8130
561	7789
562	7760
563	7784
564	7533
565	7583
566	7400
567	7389
568	7081
569	7085
570	7109
571	6948
572	6884
573	6483
574	6713
575	6580
576	6559
577	6533
578	6346
579	6253
580	6126
581	5943
582	6002
583	5826
584	5858
585	5751
586	5756
