## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/690_12.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Jul 16 18:32:40 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
230	75	2	243081797	244.031654	109.300752	36818906	FR	31	59	89	119	151	187	225	277	351	607			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	143
3	144
4	220
5	122
6	121
7	143
8	158
9	1404
10	272
11	173
12	151
13	147
14	241
15	169
16	154
17	185
18	199
19	2497
20	2678
21	2178
22	1688
23	1681
24	1422
25	1354
26	1597
27	2396
28	2650
29	2905
30	3769
31	4260
32	4655
33	5115
34	5830
35	7259
36	10135
37	13461
38	14866
39	16654
40	16019
41	16904
42	17275
43	17929
44	18960
45	19618
46	20129
47	21143
48	22375
49	23699
50	23823
51	24237
52	25083
53	25914
54	27080
55	27093
56	28396
57	30021
58	30620
59	32028
60	32608
61	32536
62	33723
63	33852
64	36386
65	36507
66	37324
67	38256
68	39207
69	41595
70	42384
71	42719
72	43811
73	44150
74	44970
75	45473
76	46438
77	48257
78	49428
79	50788
80	51375
81	52501
82	52766
83	53693
84	54581
85	54832
86	55878
87	57271
88	58841
89	60965
90	61321
91	62071
92	62660
93	63970
94	64649
95	65765
96	66032
97	67280
98	68153
99	70413
100	72297
101	72669
102	74021
103	74860
104	75826
105	77459
106	77363
107	78403
108	80140
109	81503
110	83673
111	85133
112	86630
113	87093
114	88388
115	88988
116	89620
117	91281
118	92465
119	94307
120	96257
121	96564
122	98267
123	100324
124	101633
125	102831
126	103079
127	103675
128	104511
129	107187
130	108318
131	109969
132	111050
133	112691
134	114037
135	114498
136	114491
137	114907
138	116022
139	117344
140	117799
141	119587
142	121355
143	122148
144	123477
145	123662
146	124261
147	124329
148	125897
149	126752
150	126919
151	127783
152	129069
153	129520
154	130616
155	130913
156	131561
157	131147
158	132789
159	132810
160	132330
161	133139
162	133126
163	133526
164	134373
165	135197
166	135286
167	135114
168	135607
169	135199
170	135656
171	135595
172	135463
173	136411
174	137088
175	137579
176	137207
177	136706
178	136554
179	136792
180	136872
181	136543
182	136187
183	136733
184	137196
185	136190
186	137743
187	136943
188	136795
189	136232
190	136531
191	135968
192	135370
193	135671
194	136314
195	135907
196	135825
197	135681
198	135567
199	134986
200	135395
201	134270
202	134398
203	133537
204	134056
205	133792
206	134117
207	133033
208	133472
209	132915
210	132453
211	131731
212	131291
213	131532
214	131763
215	131388
216	130328
217	130600
218	129837
219	129858
220	129763
221	129243
222	128240
223	128021
224	128362
225	128538
226	127770
227	127950
228	127343
229	126525
230	126363
231	125760
232	126048
233	125157
234	125134
235	124776
236	123992
237	124074
238	123943
239	124084
240	122877
241	122457
242	121827
243	122343
244	121474
245	120574
246	119819
247	120362
248	119124
249	119935
250	119263
251	119229
252	117846
253	117704
254	118081
255	116340
256	116246
257	114811
258	114864
259	115139
260	114166
261	115579
262	113770
263	113653
264	112850
265	111869
266	111877
267	111230
268	111389
269	111054
270	110621
271	110291
272	109383
273	108735
274	109005
275	107448
276	107229
277	106437
278	106213
279	106643
280	105863
281	105809
282	105822
283	104573
284	103936
285	103316
286	102801
287	102102
288	101732
289	101831
290	101321
291	100464
292	100310
293	99559
294	98510
295	98718
296	97977
297	97635
298	96738
299	95798
300	95907
301	95778
302	95079
303	94570
304	94014
305	93905
306	92750
307	92362
308	92093
309	92069
310	91106
311	90480
312	90292
313	89095
314	89494
315	89389
316	88469
317	87693
318	86743
319	86826
320	86026
321	85576
322	86087
323	84683
324	85396
325	83872
326	84105
327	82682
328	82215
329	81973
330	81274
331	80528
332	80180
333	80202
334	78859
335	79184
336	77513
337	77782
338	77009
339	76532
340	76424
341	75766
342	74470
343	75122
344	74157
345	74045
346	73184
347	72732
348	72160
349	71522
350	71228
351	71594
352	70117
353	69993
354	69242
355	68564
356	68125
357	68012
358	67532
359	67033
360	66208
361	65966
362	65039
363	63978
364	63461
365	63825
366	63389
367	62187
368	62191
369	61092
370	60632
371	60442
372	60168
373	59734
374	58642
375	58170
376	58001
377	57540
378	57019
379	56354
380	55910
381	55819
382	55381
383	54957
384	54191
385	53395
386	53388
387	53033
388	52507
389	51522
390	51304
391	50950
392	50606
393	49741
394	49445
395	49034
396	48435
397	47992
398	47601
399	47598
400	46835
401	46526
402	45626
403	45878
404	44773
405	44582
406	44126
407	43710
408	43267
409	42453
410	42490
411	42177
412	41950
413	40814
414	40799
415	40212
416	39584
417	39493
418	38538
419	38422
420	37971
421	38179
422	37212
