## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/832_16.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 11 03:57:47 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
243	77	2	230145296	256.379156	109.158077	4617862	FR	31	61	91	123	155	189	227	275	349	597			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1
3	4
4	6
5	2
6	1
7	2
8	4
9	13
10	5
11	2
12	4
13	13
14	10
15	2
16	6
17	6
18	7
19	66
20	78
21	66
22	50
23	34
24	45
25	37
26	47
27	63
28	57
29	64
30	56
31	79
32	89
33	118
34	108
35	135
36	202
37	279
38	322
39	358
40	403
41	469
42	484
43	564
44	677
45	728
46	808
47	995
48	1137
49	1207
50	1256
51	1342
52	1439
53	1511
54	1599
55	1717
56	1778
57	2038
58	2131
59	2301
60	2331
61	2373
62	2488
63	2620
64	2750
65	2681
66	2934
67	3057
68	3245
69	3506
70	3514
71	3527
72	3755
73	3660
74	3747
75	3897
76	3931
77	4303
78	4502
79	4790
80	4640
81	4850
82	5034
83	4985
84	5065
85	5244
86	5302
87	5398
88	5730
89	5985
90	6131
91	6270
92	6371
93	6526
94	6576
95	6735
96	6845
97	6930
98	7252
99	7485
100	7797
101	7868
102	8090
103	8233
104	8244
105	8230
106	8406
107	8483
108	8829
109	9155
110	9363
111	9553
112	9740
113	9972
114	10000
115	9975
116	10285
117	10513
118	10809
119	10750
120	10971
121	11227
122	11458
123	11683
124	11750
125	12059
126	11995
127	12135
128	12096
129	12454
130	12480
131	12917
132	13032
133	13118
134	13262
135	13484
136	13410
137	13471
138	13547
139	13781
140	13896
141	14168
142	14253
143	14420
144	14641
145	14597
146	14686
147	14747
148	14885
149	14760
150	15155
151	14964
152	15182
153	15427
154	15423
155	15307
156	15605
157	15662
158	15643
159	15709
160	15597
161	15754
162	16021
163	15970
164	16057
165	16256
166	16140
167	15949
168	15962
169	16190
170	15904
171	16349
172	16348
173	16114
174	16468
175	16540
176	16163
177	16461
178	16386
