## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/843_16.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Aug 10 12:35:25 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
244	84	2	209737940	262.65564	121.981363	4562368	FR	33	67	99	133	169	205	247	301	387	695			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	4
3	2
4	2
5	3
6	5
7	2
8	2
9	13
10	4
11	3
12	1
13	2
14	6
15	1
16	6
17	2
18	4
19	77
20	102
21	100
22	65
23	81
24	54
25	56
26	61
27	85
28	94
29	84
30	61
31	83
32	102
33	116
34	110
35	167
36	241
37	364
38	435
39	458
40	562
41	638
42	759
43	797
44	941
45	1096
46	1191
47	1370
48	1509
49	1695
50	1689
51	1796
52	1959
53	2007
54	2205
55	2346
56	2461
57	2668
58	2795
59	3079
60	3079
61	3236
62	3258
63	3435
64	3605
65	3486
66	3743
67	3868
68	4064
69	4475
70	4471
71	4566
72	4760
73	4713
74	4804
75	4790
76	4859
77	5275
78	5305
79	5520
80	5824
81	5836
82	5999
83	6130
84	6092
85	6227
86	5977
87	6465
88	6774
89	6752
90	7025
91	7193
92	7459
93	7468
94	7523
95	7606
96	7676
97	7719
98	8017
99	8244
100	8535
101	8605
102	8708
103	9072
104	9002
105	9177
106	9084
107	9252
108	9451
109	9690
110	10024
111	10042
112	10635
113	10384
114	10644
115	10662
116	10721
117	10733
118	11040
119	11176
120	11421
121	11805
122	11961
123	11986
124	11969
125	11919
126	12252
127	12264
128	12208
129	12319
130	12614
131	12858
132	13112
133	13329
134	13481
135	13669
136	13408
137	13610
138	13308
139	13533
140	13725
141	13796
142	14299
143	14202
144	14609
145	14359
146	14307
147	14416
148	14499
149	14422
150	14480
151	14562
152	14781
153	15010
154	14860
155	14915
156	15181
157	14974
158	15236
159	15087
160	15085
161	15176
162	15223
163	15455
164	15310
165	15293
166	15320
167	15243
168	15273
169	15472
170	15469
171	15320
172	15380
173	15408
174	15371
175	15592
176	15571
177	15552
