## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=06_QC/insertSizeHistogram.pdf INPUT=01_Alignment/936_13.sorted.rg.markDup.realigned.baseQreCali.bam OUTPUT=06_QC/insertSizeMetrics.txt TMP_DIR=[/illumina/runs_diag/pipeline/tmp] VALIDATION_STRINGENCY=LENIENT    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jul 15 11:19:09 CEST 2016

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
211	86	2	223477502	229.564739	122.21919	35206765	FR	35	69	101	137	173	211	255	303	383	689			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	108
3	131
4	182
5	85
6	102
7	119
8	101
9	417
10	161
11	156
12	100
13	123
14	178
15	164
16	171
17	234
18	226
19	3521
20	3913
21	3275
22	2449
23	2487
24	1968
25	2019
26	2456
27	4264
28	4945
29	5722
30	11999
31	13638
32	14072
33	15486
34	17510
35	23129
36	33713
37	44565
38	49675
39	54435
40	54053
41	53711
42	54851
43	56313
44	57187
45	56123
46	55655
47	57851
48	60080
49	62725
50	63206
51	63175
52	63740
53	64175
54	65219
55	65391
56	67412
57	69669
58	70866
59	72327
60	72726
61	73165
62	74925
63	75688
64	77546
65	77789
66	78884
67	81064
68	81849
69	85430
70	85464
71	86735
72	87978
73	87461
74	87733
75	87415
76	87850
77	89351
78	91025
79	92242
80	91723
81	92461
82	92854
83	92393
84	93309
85	92841
86	93129
87	94376
88	94528
89	96382
90	95333
91	96474
92	96170
93	97331
94	96794
95	97097
96	97878
97	97662
98	98361
99	98761
100	100761
101	101078
102	101461
103	101364
104	101963
105	102717
106	102565
107	102020
108	102644
109	103434
110	104241
111	105059
112	105410
113	104998
114	106233
115	105819
116	106132
117	106712
118	107640
119	107535
120	108666
121	108243
122	108923
123	109964
124	110830
125	111458
126	110327
127	110379
128	111213
129	113009
130	111972
131	113127
132	113256
133	113899
134	115188
135	115321
136	114163
137	115318
138	114796
139	114975
140	115966
141	116270
142	116258
143	117016
144	117068
145	116794
146	116670
147	117161
148	116957
149	117402
150	117378
151	118165
152	117570
153	118406
154	117560
155	118036
156	118175
157	117665
158	118296
159	117786
160	117288
161	117339
162	117050
163	117378
164	116774
165	117764
166	117240
167	116309
168	116543
169	116887
170	116334
171	116096
172	114744
173	115332
174	115581
175	115659
176	115290
177	116070
178	114118
179	113294
180	113818
181	113533
182	112601
183	112234
184	113546
185	112411
186	113261
187	112587
188	112233
189	112145
190	110801
191	110046
192	110565
193	110566
194	110496
195	110309
196	109637
197	109063
198	109357
199	107746
200	108187
201	107691
202	107659
203	107161
204	107546
205	106564
206	106395
207	105406
208	105899
209	106317
210	105523
211	104317
212	104361
213	104331
214	104882
215	103527
216	103415
217	103448
218	102611
219	102549
220	102448
221	101617
222	100961
223	101021
224	101007
225	100726
226	100272
227	100328
228	100197
229	99687
230	99190
231	98485
232	98828
233	98658
234	97906
235	97988
236	97735
237	97713
238	96488
239	96881
240	96638
241	95889
242	95639
243	94972
244	94820
245	94490
246	93302
247	93941
248	93618
249	94070
250	93039
251	92686
252	92272
253	91850
254	91945
255	91365
256	90887
257	90533
258	89880
259	90671
260	89337
261	90458
262	89171
263	89024
264	88903
265	87552
266	88010
267	87299
268	87815
269	87018
270	86251
271	86731
272	86078
273	85781
274	85630
275	84973
276	83748
277	84586
278	84227
279	83728
280	83437
281	83290
282	82694
283	81905
284	82402
285	81860
286	81202
287	81405
288	80425
289	80689
290	79815
291	79946
292	79556
293	78678
294	79077
295	77820
296	77646
297	77860
298	77382
299	75995
300	76492
301	76633
302	76152
303	75941
304	75642
305	75190
306	74319
307	73892
308	73511
309	73663
310	73599
311	72787
312	72355
313	72410
314	71959
315	72075
316	71561
317	71240
318	70293
319	70096
320	70145
321	69443
322	68912
323	68876
324	68837
325	68122
326	68023
327	67999
328	66812
329	66911
330	66248
331	66223
332	65876
333	65287
334	65282
335	64809
336	64396
337	64484
338	63863
339	63110
340	62695
341	62426
342	62238
343	62457
344	61575
345	62171
346	61430
347	60468
348	60190
349	59860
350	59661
351	59360
352	59259
353	58827
354	58166
355	57949
356	57309
357	57178
358	56590
359	56246
360	55609
361	55689
362	54915
363	54906
364	54318
365	53693
366	53425
367	53288
368	52653
369	52530
370	52072
371	51641
372	51385
373	51320
374	50489
375	50139
376	49976
377	49757
378	49260
379	48982
380	48102
381	48353
382	48065
383	47822
384	47156
385	46563
386	46493
387	46169
388	46038
389	45963
390	45062
391	44733
392	44604
393	44499
394	43750
395	43279
396	43273
397	42995
398	42858
399	42211
400	41746
401	41670
402	41261
403	40659
404	40340
405	40086
406	39810
407	39600
408	39237
409	38873
410	38915
411	37913
412	37834
413	37380
414	37191
415	36658
416	36449
417	36481
418	36129
419	35528
420	35282
421	35378
422	34796
423	34622
424	34139
425	33631
426	33408
427	33224
428	32595
429	32661
430	32178
431	32037
432	31877
433	31192
434	31463
435	30678
436	30614
437	29798
438	29835
439	29282
440	29404
441	29189
442	28863
443	28021
444	28078
445	28064
446	27417
447	27230
448	26901
449	26761
450	26117
451	26027
452	25356
453	25373
454	25038
455	24986
456	24634
457	24348
458	24209
459	23748
460	23473
461	23200
462	22984
463	22815
464	22479
465	22250
466	21791
467	21910
468	21517
469	21379
470	21015
471	20691
472	20631
473	20201
474	20117
475	19833
476	19293
477	19494
478	19183
479	18772
480	18628
481	18463
482	18274
483	18208
484	17701
485	17604
486	17221
487	17016
488	17098
489	16875
490	16254
491	16261
492	15893
493	15891
494	15690
495	15562
496	15184
497	14997
498	14673
499	14537
500	14705
501	14267
502	14020
503	13670
504	13566
505	13464
506	13206
507	13349
508	12872
509	12536
510	12526
511	12307
512	12059
513	12113
514	11873
515	11667
516	11353
517	11270
518	11148
519	10976
520	10963
521	10447
522	10405
523	10471
524	10097
525	9939
526	9988
527	9653
528	9620
529	9432
530	9378
531	9183
532	9137
533	9092
534	8938
535	8582
536	8405
537	8257
538	8344
539	8035
540	7973
541	7874
542	7698
543	7855
544	7488
545	7382
546	7071
547	7124
548	6886
549	7051
550	6739
551	6692
552	6491
553	6537
554	6392
555	6345
556	6114
557	6095
558	5911
559	5886
560	5866
561	5675
562	5686
563	5469
564	5348
565	5287
566	5262
567	5033
568	5119
569	4891
570	4950
571	4735
572	4714
573	4654
574	4463
575	4489
576	4377
577	4359
578	4238
579	4241
580	3902
581	3975
582	3926
583	3834
584	3838
585	3613
586	3544
587	3616
588	3450
589	3469
590	3259
591	3273
592	3359
593	3132
594	3251
595	2975
596	3019
597	3056
598	2985
599	2781
600	2829
601	2774
602	2727
603	2707
604	2715
605	2596
606	2560
607	2412
608	2404
609	2404
610	2264
611	2291
612	2187
613	2156
614	2189
615	2071
616	2064
617	2077
618	1974
619	2020
620	1830
621	1882
622	1836
623	1775
624	1716
625	1780
626	1659
627	1709
628	1595
629	1562
630	1554
631	1478
632	1499
633	1509
634	1485
635	1403
636	1426
637	1359
638	1361
639	1369
640	1274
641	1288
642	1258
643	1269
644	1217
645	1191
646	1141
647	1131
648	1132
649	1121
650	1073
651	1064
652	970
653	973
654	989
655	968
656	894
657	871
658	882
659	849
660	821
661	867
662	783
663	797
664	840
665	793
666	786
667	731
668	764
669	699
670	706
671	673
672	704
673	664
674	622
675	616
676	664
677	604
678	593
679	593
680	584
681	587
682	555
683	507
684	541
685	526
686	484
687	512
688	466
689	473
690	478
691	413
692	464
693	403
694	439
695	409
696	399
697	400
698	443
699	382
700	380
701	358
702	376
703	345
704	314
705	356
706	317
707	330
708	322
709	323
710	309
711	317
712	280
713	270
714	276
715	257
716	312
717	289
718	276
719	280
720	268
721	264
722	254
723	245
724	241
725	206
726	225
727	199
728	208
729	255
730	213
731	193
732	229
733	175
734	167
735	181
736	187
737	174
738	184
739	180
740	184
741	186
742	159
743	165
744	131
745	155
746	157
747	149
748	176
749	141
750	138
751	153
752	142
753	126
754	116
755	141
756	141
757	128
758	109
759	125
760	133
761	125
762	123
763	113
764	113
765	129
766	105
767	110
768	108
769	98
770	111
771	110
772	121
773	101
774	96
775	89
776	98
777	89
778	98
779	99
780	75
781	76
782	77
783	86
784	79
785	84
786	69
787	71
788	85
789	69
790	75
791	80
792	73
793	61
794	71
795	72
796	63
797	59
798	60
799	61
800	67
801	74
802	63
803	58
804	57
805	45
806	47
807	36
808	49
809	51
810	40
811	37
812	37
813	34
814	35
815	33
816	32
817	23
818	34
819	31
820	30
821	32
822	23
823	31
824	29
825	19
826	31
827	23
828	22
829	18
830	25
831	29
832	31
833	17
834	23
835	26
836	21
837	28
838	27
839	15
840	22
841	19
842	28
843	12
844	15
845	23
846	19
847	19
848	23
849	16
850	16
851	16
852	20
853	21
854	14
855	15
856	18
857	19
858	15
859	20
860	17
861	15
862	10
863	14
864	12
865	12
866	7
867	18
868	10
869	7
870	19
871	15
872	10
873	11
874	10
875	17
876	6
877	17
878	11
879	12
880	15
881	11
882	7
883	9
884	10
885	8
886	18
887	7
888	13
889	14
890	11
891	6
892	16
893	8
894	9
895	8
896	9
897	8
898	11
899	9
900	7
901	8
902	11
903	4
904	9
905	7
906	6
907	9
908	13
909	10
910	11
911	12
912	9
913	6
914	8
915	5
916	9
917	7
